name,age,zip
Marineau,44,97213
Oberpriller,50,32600
Carlson,55,61560
Wrye,31,37330
Smith,54,51120
Sessoms,38,39260
Waggoner,36,14123
Gillis,50,56200
Sher,42,67130
Hobby,39,31160
Hoover,35,47410
Thompson,48,33320
Schmitz,27,32120
Easley,46,54480
Boutin,43,20142
Michels,49,50470
Johnson,48,42500
Sheppard,44,80700
Erwin,43,64600
Sondrini,34,60190
Mcfarland,50,46700
Ethridge,41,26110
Polk,37,22710
Kornegay,19,46140
Gross,59,08220
Mcdonough,41,26330
Hartman,50,58150
Pena,47,43170
Gregg,48,22430
Eades,55,70200
Nunez,42,02470
Hindman,32,80500
Sweat,39,83330
Wicker,56,58270
Lind,33,42590
Miller,49,42320
Lee,42,60420
Harwood,52,63320
Thompson,49,22940
Shockey,35,97216
Ryan,34,02330
Wood,40,72240
Valdez,39,25660
Freeman,45,13008
Porter,48,31460
Quinonez,57,05700
Holberg,52,37460
Rich,36,56390
Saner,31,22480
Hill,51,32410
Mays,45,44330
Poirier,38,63680
Ely,29,11500
Oquendo,30,89430
Otterson,31,76570
Greene,42,62770
Jones,61,80560
Hartage,36,77130
Hastings,33,60380
Gonzalez,36,49430
Haak,36,33190
Riina,55,44290
Mckee,41,95450
Council,31,70300
Burwell,41,14680
Huntley,48,51800
Fox,57,70400
Sainz,32,57460
Mccracken,42,77130
Brown,58,17460
Glover,33,80400
Hosmer,71,12250
Cox,53,70170
Lambert,38,43100
Davila,24,70400
Gibson,51,55270
Vereb,44,35630
Ott,45,63340
Aguilar,41,68620
Benton,43,78125
Watters,46,59570
Lazarus,36,08220
Welch,47,08310
Oconnor,37,02240
Johnson,25,89260
Daigle,62,40250
King,52,97615
Filipponi,39,62360
Shofner,60,55300
Franco,51,88350
Snyder,57,59500
Epperson,33,41800
Booker,65,82110
Lowery,46,80500
Santos,36,41800
Montemayor,34,38780
Shelton,54,42520
Almaraz,39,90120
Cote,43,54800
Townsend,44,72230
Doctor,47,22270
Owen,41,27100
Law,45,02880
Fournier,35,39700
Mermis,46,08350
Johnson,41,01240
Brown,32,93470
Jamerson,40,81440
Seay,35,21130
Carpenter,52,83590
Lu,36,47180
Thigpen,26,47500
Negbenebor,43,62310
Tran,48,49150
Deherrera,53,98810
Dobson,44,61550
Batiz,42,61370
Carter,49,51800
Miller,54,21530
Sison,46,38630
Smith,50,17240
King,41,92300
Retchless,48,40110
Ortiz,48,11190
Bellantoni,41,34160
Spencer,54,70100
Macias,58,52320
Poli,42,21500
Venable,38,64220
Vinton,46,28310
Avalos,44,52500
Strackbein,51,24240
Gonzales,59,67390
Wilcox,43,31310
Bryant,47,09160
Hosey,40,46800
Kyle,29,61190
Clark,51,37530
Negrete,50,36700
Curles,61,72360
Irving,51,56100
Hart,52,73440
Dennis,33,31160
Chester,41,71740
Stillman,43,53250
Sampere,25,59620
Caro,46,25360
Cortese,48,91830
Barnes,37,14260
Edwards,53,57690
Spicer,45,27700
Alvarez,49,32700
Spilde,51,27350
Mohead,49,08090
Simpkins,59,86160
Jacquemin,53,22200
Crowley,38,64300
Higgins,65,45120
Neihart,60,03120
Johnson,42,77183
King,62,77760
Brown,33,61430
Bishop,55,24160
Vanwagner,42,60190
Sluka,26,20237
Schacht,41,97440
Dols,41,54370
Ford,55,42230
Berrios,49,46350
Wagner,39,09200
Gonsalves,55,66110
Wells,51,42550
Ginn,44,50200
Archambeault,46,97215
Garcia,42,97438
Cunningham,59,61350
Ternullo,45,80320
Jefferson,39,54160
Phillips,54,08310
Gonzalez,51,62560
Fishman,29,09300
Cluck,52,15110
Toma,64,88320
Morales,34,45130
Coffey,50,76480
Mosconi,41,88140
Griffin,38,06440
Bonnet,53,62120
Brown,40,79420
Thomas,41,48330
Russell,30,22390
Scott,35,16390
Smith,37,26470
Wagner,56,45270
Herrington,47,45110
Sears,39,08430
Dee,35,76190
Browning,60,81140
Watkins,48,14440
Vue,51,18260
Mcnett,53,80200
Propes,59,17500
Melo,51,26300
Stewart,40,14450
Hays,59,89260
Torres,46,70190
Pritchard,60,80240
Wheatley,40,27520
Graham,43,54140
Uttley,59,14210
Dover,48,28310
Hernandez,39,60400
Pope,55,07430
Dun,45,78200
Bedell,47,55100
Messing,48,33210
Wolfe,40,52250
Villarreal,56,73210
Freel,33,31430
Loreto,55,26770
Lofquist,59,76630
Burchett,62,49130
Duffy,52,13013
Vanwinkle,54,69860
Derks,37,01000
Sohn,66,14240
Wright,43,25300
Wood,54,78711
Ichikawa,57,51800
Gaston,29,89150
Scott,63,38420
Wynn,50,94440
Wimbush,45,26230
Orms,44,22530
Christ,44,39380
Sacco,42,55000
Ladner,41,35190
Kirk,34,65310
Taylor,49,57320
Sylla,27,82400
Brown,42,64700
Thurmond,38,63380
Noyola,32,61340
Breton,51,16320
Sosa,42,10330
Scurry,43,85120
Bode,58,17330
Harrelson,47,41210
Overton,47,48600
Baker,39,02140
Drumheller,43,50880
Branch,38,32550
James,48,18120
Marian,34,11190
Gentile,58,74200
Lane,34,47330
Baumeister,41,02200
Collier,37,73340
Buckley,34,20125
Ordonez,43,14260
Sylvester,63,05300
Johnson,57,41700
Harris,70,41500
Sabala,52,39570
Rose,56,30114
Hodge,58,57245
Young,44,61570
Allen,51,37380
Borrell,50,03190
Longe,37,98790
Avant,40,67160
Batey,59,53230
Kelly,53,12170
Roessler,60,80140
Gates,63,34800
Connell,37,41250
Lee,52,11110
Skinner,52,67330
Rodriguez,67,10270
Mata,37,46130
Hall,39,56400
Works,36,32700
Herrera,48,14460
Fullmer,48,45430
Czech,51,12260
Poole,52,79600
Dineen,67,29300
Wood,46,09600
Wiener,54,17210
Zima,37,62910
Brown,40,49430
Marshall,48,50490
Mobilia,56,77760
Sullivan,46,18320
Seip,44,62250
Adams,51,94300
Eggleston,37,54210
Santoro,44,67260
Coffey,55,36140
Hopp,35,54290
Welsh,44,85190
Goudeau,33,70270
Enochs,54,23140
Hubbard,42,57320
Shattuck,57,35560
Vega,49,60155
Brinkley,44,70700
Canevari,37,79150
Baxley,35,65190
Arroyo,46,16190
Correy,48,80210
Hicks,58,88320
Treider,64,27340
Snyder,40,55210
Vinson,43,28320
Arnold,42,66200
Acoff,60,14270
Madden,48,16700
Gray,48,26400
Tennison,58,05400
Vasquez,46,45170
Weingard,25,88650
Murphy,78,68250
Wirth,31,21120
Burns,60,02450
Early,35,10300
Shadwick,42,28240
Ferris,45,04250
Hernandez,47,27160
Dreesman,47,59148
Phelps,36,41230
Isaac,57,10140
Sage,47,28310
Hunt,36,37510
Averett,47,68220
Schulweis,62,77410
Soehl,46,33340
Halverson,36,68230
Stanton,37,51240
Daigle,52,26120
Cole,46,95180
Philips,64,71520
Brasher,46,50500
Boyda,58,62490
Ayers,50,69440
Thomas,58,60360
Poole,33,37110
Corns,40,20238
Shones,46,40110
Barner,55,33270
Nighman,65,80680
Crane,36,85410
Raleigh,66,70110
Neely,30,62860
Barnes,44,31510
Higginbotham,25,14830
Hanson,40,52500
Hernandez,48,26570
Moore,51,20128
Gordon,50,42110
Anderson,39,36800
Hutchins,44,02160
Benny,44,64400
Hicks,51,36160
Gates,46,31260
Green,34,57580
Richardson,52,49350
Demmer,60,68600
Greene,45,69610
Davis,70,54440
Carignan,26,76270
Johnson,39,40250
Salgado,51,50440
Smith,47,62116
Jackson,47,51800
Karcher,39,62650
Hegg,56,55170
Johnson,53,21140
Alvarado,31,86120
Conrad,47,29690
Brown,26,01270
Fendley,41,05800
Wilkes,43,70110
Lindberg,49,36100
Mcninch,65,20272
Roling,31,24630
Ramsey,48,10380
Jackson,42,80440
Foster,43,21440
Tucker,22,06230
Parsons,56,24370
Pemberton,53,80310
Jaramillo,55,40310
Ellis,39,16360
Dennison,49,02330
Sallee,46,31450
Erickson,55,46110
Pavao,38,40250
Vargas,35,04170
Koepsell,43,47400
Hill,49,36700
Sakoda,43,98792
Rothman,49,02470
Necaise,61,61400
Romano,43,20290
Fults,61,86270
Smith,28,06260
Eagleton,48,25480
Johnson,75,80290
Waters,49,77510
Reed,49,93200
Foster,44,98790
Jordan,31,06670
Murphy,41,33820
Chavez,44,88340
Carpenter,30,01190
Carr,31,06500
Cannon,43,58250
Zuniga,39,19200
Fortenberry,45,70400
Norris,40,21110
Raebel,37,55300
Goforth,54,77710
Sheridan,50,24270
Boyle,23,74130
Gregg,44,34360
Rushton,51,11420
Holmes,45,24380
Spina,53,65220
Goodman,54,86410
Duet,53,30460
Randolph,24,04120
Garner,58,46360
Jacobs,41,24700
Strahan,46,91830
Smith,42,17490
West,43,61150
Lammers,59,25340
Gigliotti,23,36370
Figueras,52,33190
Robison,32,17730
Wilber,37,20270
Hawkins,48,67390
Davanzo,30,88470
Strickland,42,08250
Siler,61,10150
Moore,44,39110
Goodwin,35,19150
Shuler,44,51330
Nakata,39,65290
Torres,39,83670
Wells,54,28700
Caravella,55,65230
Geary,27,62350
Beltran,44,33430
Dapinto,55,71110
Maurer,36,88500
Warren,32,50800
Flores,50,38650
Petty,48,34540
Carman,41,68170
Chen,46,77141
Potter,65,84410
Roberts,47,83670
Payne,52,50300
Anderson,53,74540
Warren,43,40110
Smith,40,63340
Nguyen,52,43450
Ware,37,38114
Sandoval,53,09110
Piper,64,38350
Breedlove,33,69005
Laster,34,65300
Ramsey,67,27110
Bourgeois,55,24240
Evans,35,14220
Straker,48,72260
Smith,48,02420
Yu,59,63220
Connor,40,89770
Post,42,15700
Coleman,47,74700
Herrera,55,68990
Fain,29,89160
Wagner,51,13690
Tuplano,52,42660
Yee,37,33720
Chen,52,87800
Ackles,41,12630
Halter,47,57620
Stone,30,33120
Walk,56,41600
Dennehy,58,22290
Henning,51,28300
Proudfoot,44,01310
Hashimoto,62,15140
Hatch,39,56460
Auerswald,42,76450
Holtzclaw,41,55160
Moore,58,10180
Desbiens,44,89560
Galvan,33,22170
Merkerson,68,43150
Davidson,59,60250
Garcia,31,01250
Johnston,41,72170
Goff,43,80430
Grinage,47,62690
Barlage,48,77370
Hosick,55,07320
Leflore,43,31290
Johnson,36,44330
Dubois,63,10270
Barton,44,24800
Surface,44,98790
Craig,52,88210
Alton,57,80560
Thomson,54,12510
Smith,32,64300
Hensley,41,43230
Condict,50,46210
Perez,39,77430
Williams,55,64150
Leland,31,89100
Gaughan,54,68480
Shearer,64,85160
Bauer,55,02270
Perez,38,14130
Foster,39,10150
Medders,62,82500
Kratzer,31,25150
Matthews,34,10190
Federico,34,43100
Gates,54,62690
Short,44,87370
Lisa,55,24330
Sheston,58,98620
Martinez,50,78125
Nebeker,54,85230
Rhen,63,10200
Hathaway,42,14240
Collin,46,04370
Harkness,28,32130
Berg,30,63500
Thews,44,08300
Dantzler,48,56740
Garcia,43,40500
Estwick,51,61330
Nissen,55,91150
Ignacio,57,87400
Carraway,14,78730
Dejackome,26,08430
Martinez,26,98762
Boisvert,42,91870
Singh,34,23260
Clark,54,62124
Robinson,60,38380
Tavira,42,76600
Reyes,59,02160
Peters,44,46300
Wilson,30,68230
Perry,66,62320
Wier,60,62810
Weeks,55,50330
Butler,44,80270
Law,59,44130
Gibbs,33,58150
Boyle,47,35160
Stuckey,42,38122
Wolter,35,11170
Braun,52,41320
Lutes,40,34240
Hasty,66,89340
Gil,38,16400
Myers,60,10340
Bielecki,38,79600
Wheeler,32,60500
Thompson,24,60410
Page,45,13220
Hatch,48,31540
Donohue,23,49610
Leach,43,68128
Mcgough,36,54470
Prisco,54,02680
Capossela,36,34400
Wong,55,04860
Thibodeau,49,74400
Greiner,54,25250
Stangle,37,42140
Patterson,30,39190
Macaraeg,43,81580
Leversee,39,32600
Reynolds,39,74960
Sayler,44,64800
Walker,46,17260
Fitzgerald,60,95000
Ostby,30,33650
Stickney,55,73260
Frentzel,48,54450
Ellis,53,04530
Flores,42,03300
Fisher,31,64450
Elliott,32,46140
Brooks,41,35460
Theden,68,02340
Mooney,28,42155
Harden,43,46300
Dorsey,56,17380
Gingras,46,33790
Eversole,37,09130
Stoddard,54,09230
Bell,39,57790
Jackson,52,80320
Drown,60,16700
Clark,43,77500
Oneal,39,05130
Affagato,50,53240
Martin,27,79200
Hooper,56,51130
Cavazos,35,12300
Navas,42,77950
Sackett,67,25110
Lee,42,63490
Swindle,55,86700
Lucas,58,29860
Spiller,50,66480
Smith,41,82240
Perez,39,18520
Smith,36,43130
Merkle,38,80250
Johnson,39,42560
Primm,47,62740
Hodge,36,63750
Grambo,39,25250
Andrade,44,26340
Case,43,50300
Pagan,39,45340
Isom,37,48200
Ardito,40,42260
Smith,63,27230
Mcmillan,29,20213
Florez,48,86340
Shuler,49,77510
Saunders,65,62850
Cothran,33,39700
Fuentes,41,39300
Martin,38,46700
Williams,43,66470
Baoloy,34,67130
Morgan,48,41310
Luna,45,77186
Nylen,47,06260
Witzke,31,53140
Robinson,64,92150
Schultz,38,52600
Bradburn,45,57420
Riess,41,64220
Williams,40,70100
Kuntz,49,63122
Davis,45,21380
Goldstein,38,14100
Parker,49,62123
Sharp,52,60210
Bica,36,22450
Smith,49,62270
Gomez,33,61150
Cogan,40,19340
Hall,56,65170
Catron,53,59360
Gaines,61,08600
Bellinger,56,02290
Cox,52,88700
Caban,46,70500
Gonzalez,47,27190
Alward,46,38770
Hynes,28,61170
Perryman,47,72260
Mattos,52,79370
Love,49,31110
Dewing,55,07370
Wood,44,60310
Blizzard,60,31190
Boutin,60,34280
Cheng,55,91440
Whitely,65,57635
Weed,49,27240
Young,43,83149
Vasallo,44,31190
Engle,24,81500
Heckman,52,64490
Garcia,38,25660
Keath,55,47800
Williford,43,86250
Martin,39,14320
Rhodes,54,76490
Vandre,50,98716
Irving,30,50690
Mini,58,14240
Rosales,29,18140
Godwin,48,07140
Gardner,54,39250
Long,37,67250
Daly,49,59261
Martin,54,70280
Newton,29,61100
Goldson,50,33690
Grose,35,47200
Lowe,48,76690
Torres,47,34600
Weddle,28,71500
Bumpus,44,12160
Donoghue,44,18290
Trevino,48,50260
Tesch,35,89320
Danielson,48,27370
Allen,43,62360
Moss,49,28210
Blevins,49,15100
Booth,51,57370
Hodge,48,34970
Herndon,49,52220
Channel,36,31130
Linsky,38,87230
Allen,39,51700
Bohlen,45,01340
Harris,36,74350
Hoang,60,47120
Utecht,54,52150
Barron,38,58170
Dobratz,52,51330
Johnson,27,61110
Ahmed,51,52230
Baum,44,64640
Miller,51,03390
Broughton,47,36220
Banerjee,51,43580
Metzner,40,86170
Noble,51,65350
Liptrot,39,67270
Gibson,49,86230
Burns,50,69690
Aldrich,43,01270
Mccormick,61,94500
Moore,35,32340
Cha,50,64300
White,49,78124
Hobart,75,87190
Hodge,25,51340
Warren,50,57310
Grace,36,76840
Brackman,28,59212
Depedro,46,86100
Welch,33,64990
Mata,59,04410
Corbin,64,67360
Gilcrease,34,02860
Benson,47,11300
Patterson,42,61390
Griffin,38,74270
Zepeda,42,64230
South,52,38710
Hill,33,85800
Goodwin,35,20190
Smith,38,17260
Knight,51,55600
Lawson,34,97417
Bell,44,24560
Jefferson,37,64120
Ray,49,81660
Pittman,20,41150
Sigrist,37,76540
Suarez,49,88110
Flores,48,05000
Singleton,35,15120
Brooks,61,43370
Lozano,29,68230
Kingore,52,32230
Garrett,49,70240
Messier,39,43200
Lewis,54,43220
Smith,47,85490
Ruiz,36,72540
Langley,39,70150
Carter,40,22560
Bowen,46,50540
Mauldin,27,70100
Navejas,46,61340
Stecklein,46,67420
Motl,34,80132
Laguna,35,33600
Hutchinson,59,70500
Murray,41,13520
Conway,39,49420
Wisham,53,31280
Swanson,47,20236
Donaldson,47,21340
Gains,61,25610
Thorsen,28,91590
Jackson,65,87260
Ling,44,43330
Carpenter,37,28380
Zappa,63,12600
Jordan,44,80270
Snyder,44,35240
Donatello,58,21150
Lester,53,31330
Quinn,28,38200
Chambers,33,51170
Moore,31,53540
Garcia,35,17130
Demarest,67,59530
Wilson,41,41330
Jenkins,52,76320
Finn,29,02210
Leffert,40,20169
Gray,47,35340
Rivera,52,31360
Grambo,50,12700
Escareno,56,16220
Moody,48,08460
Covey,44,54800
Watson,52,55200
Orzell,42,39800
Dermody,42,57245
Hoyle,37,55000
Wesner,31,76680
Hamilton,52,19310
Martin,40,25290
Bowser,57,91340
Moreno,32,42570
Husar,56,12250
Kotas,34,08240
Garcia,54,04330
Canas,40,14130
Marshall,51,50700
Ellis,59,46160
Madison,45,36300
Garbacz,57,23160
Stavnes,33,15200
Crays,35,17240
Burgess,44,09160
Johnson,33,62170
Post,45,42220
Campbell,53,47000
Macias,48,24260
Alva,50,07410
Cyr,36,77940
Valentin,33,28300
Black,36,20234
Davidson,56,68480
Allard,54,57870
Brussel,46,64800
Walbridge,45,80240
Jackson,44,64300
Newton,44,97230
Mezzatesta,36,32190
Dunkerson,22,76450
Marshall,41,46310
Evans,48,21490
Kopple,53,28410
Colbert,38,43150
Murphy,31,55100
Olson,36,65130
Frost,54,47230
Swee,44,87800
Tibbs,45,55700
Kemp,36,27480
Monn,40,20620
Nichols,49,11270
Church,43,61500
Tiner,49,35630
Robert,49,35190
Volz,53,52600
Molina,40,79370
Johnson,39,01480
Sawyer,51,26230
Carney,55,46340
Perez,52,76970
Przewozman,53,40500
Foley,30,74350
Commander,67,58700
Mosher,48,44140
Morgan,37,73670
Stone,67,71490
Knight,48,41170
Donnerberg,62,38510
Wiley,46,67430
Mashburn,53,38260
Holloway,56,82100
Bowman,55,43380
White,52,27190
Wagner,40,38110
Munoz,56,08270
Lebeouf,55,14680
Anderson,53,62270
Buisson,39,73420
Ostermann,33,55150
Krum,42,79150
Pere,49,51300
Lemley,49,55290
Smith,49,02700
Romero,33,33115
Teel,47,31370
Perry,37,80290
Bennington,49,55600
Smith,57,30230
Meador,49,39300
Schulte,55,89530
Tuinstra,48,20251
Johnson,59,32400
Tincher,38,20238
Nuzback,73,50760
Rivera,49,16200
Phillips,45,33124
Townsend,52,74160
Poore,43,51300
Castellanos,42,24330
Davis,43,87140
Sims,48,04120
Allen,39,57970
Bardin,40,81120
Jones,50,67270
Roach,59,19800
Benware,45,14260
Fletcher,57,33390
Farber,43,52160
Reyes,64,66210
Donohue,39,32170
Marsh,58,45650
Barker,54,49700
Brock,48,23500
Crawford,52,03390
Latch,39,80340
Weiland,32,72170
Bottone,45,14800
Cline,33,08090
Long,29,22460
Starrett,49,62240
Tillman,26,24230
Smith,48,26560
Brown,44,57300
Skowronek,51,38150
Thompson,50,80700
Henson,32,32400
Salaam,57,45210
Day,55,03450
Haase,61,63560
Wobbleton,32,87250
Foran,50,59330
Flowers,55,65380
Ross,53,63320
Smithers,54,20272
Dix,39,89400
Beery,43,62860
Taylor,39,59530
Hodgson,53,68420
Romero,37,10240
Goodman,41,60540
Tate,38,72600
Tovar,39,11250
Nix,40,98790
Reinke,39,21430
Day,39,02300
Anderson,46,38150
Stafford,35,58140
Tiller,33,22140
Bonnell,57,51700
Contreras,32,27110
Kaufman,51,55250
Marsh,54,20142
Bocci,42,64330
Basta,46,50510
Gurnett,50,80140
Jones,39,47230
Welch,36,44220
Daugherty,39,64120
Jamili,44,98832
Cope,54,59185
Phelps,50,58220
Cargill,39,39800
Doucet,38,91690
Matava,55,09310
Fender,39,31460
Appling,51,39250
Capps,33,09000
Harris,59,27520
Martinez,57,50360
Williams,44,52000
Strother,60,57890
Grayson,56,09200
Ramey,42,22450
Evans,27,35290
Barros,43,59570
Perez,27,55110
Jerome,48,27800
Kinyon,65,08260
Heinz,43,15130
Talley,59,41150
Kline,36,58420
Glenn,48,76760
King,44,64190
Kyseth,46,65140
Sawyer,43,15320
Paulseth,46,72340
Mahr,49,03240
Rollins,34,50170
Thibodeaux,55,62140
Gonzales,43,16350
Carter,28,55120
Johnson,45,65670
Gomes,48,80500
Giles,32,47380
Wise,52,17350
Rodriguez,35,54300
Pickel,44,33113
Mackey,53,39290
Hruska,53,21120
Garcia,55,46100
Kennedy,51,04220
Prince,42,07470
Snider,50,70400
Hults,49,23260
Tennant,57,41350
Isenberg,37,32730
Webber,50,16240
Allen,38,23800
Bryan,36,89500
Sexton,46,36210
Spice,38,70270
Whited,31,36140
Gooch,54,30390
Russell,30,54450
Nicholson,49,01250
Mula,45,40150
Mcclendon,45,47380
Aguilar,56,34130
Province,36,73210
Kenne,40,76270
Marshall,62,21230
Roberts,51,14340
Barnhart,39,67710
Lyons,62,83340
Whittington,42,11600
Mercado,65,33760
Grubbs,44,39110
Peek,54,37530
Freedman,45,26160
Reynolds,64,89630
Brock,50,08360
Sheridan,35,86310
Opheim,53,90330
Berger,54,11300
Blocker,44,61310
Bradford,20,40320
Rothrock,34,89500
Morrison,34,61250
Hughes,72,36140
Gutierrez,30,20217
Berry,43,29710
Walker,55,50290
Rivera,51,51700
Neyra,44,17330
Lewis,43,41200
Cesari,49,14140
Reeves,70,06470
Dale,64,02540
Enz,40,53250
Wampler,29,83470
Johnson,30,58400
Parry,38,01990
Maggard,59,03170
Stein,30,43750
Valenzuela,41,29890
Anderson,18,22260
Marin,56,59229
Forman,55,26210
Simmons,52,46240
Hilgert,44,35440
Mcelroy,66,59680
Davis,40,25640
Williams,42,61290
Hewett,47,12460
Henry,34,65670
Conlon,57,45510
Boisvert,36,06450
Talley,33,19200
Baley,50,01190
Brown,34,14700
Ho,49,62120
Ramos,65,66190
Baker,48,63890
Hardy,44,52200
Sentell,44,49520
Ramage,51,86190
Englert,44,80135
Thompson,46,21220
Grant,55,24700
Snyder,40,68740
Frizzell,58,43380
Barrera,34,70240
Webb,49,49770
Marshall,41,52310
Winter,41,67250
Reid,64,50520
Swanson,52,25250
Gallant,39,39110
Broderick,38,56110
Dougherty,55,70300
Reichman,29,52300
Temple,49,62134
White,41,15220
Maine,47,66230
Bubar,61,03110
Kelly,45,21490
Toliver,37,14140
Shaw,51,76410
Johnson,59,22770
Reaves,40,31110
Hussey,41,81170
Masi,38,62210
Honeywell,37,11140
Tomita,51,35550
Bryant,48,33360
Castaneda,38,02810
Hutcherson,64,16240
Alexander,53,80150
Swearingen,59,98726
Hearn,59,59570
Moreno,55,34290
Murphy,30,14910
Buchanan,56,35460
Garrison,39,60360
Nero,42,50320
Akkerman,52,30700
Braxton,46,39800
West,54,20260
Rice,31,51700
Jennison,35,80850
Davis,50,07590
Reinhardt,39,50360
Hancock,57,35133
Stanfill,38,25380
Heber,50,13670
Rome,48,64500
Johnson,46,27130
Sulley,37,43320
Theel,47,27240
Hoffman,41,55100
Ramsey,38,21540
Elkins,39,55300
Mueller,36,10300
Diaz,44,56190
Miller,37,71260
Mcconnell,45,20230
Mcgill,38,28700
Kallas,32,76640
Brooks,34,17500
Stewart,46,61190
Allen,39,65350
Dube,49,80700
Hoffmann,56,62180
Royals,35,54360
Grogan,42,14290
Levin,43,57420
Cochran,47,88230
Cancro,41,28320
Quillen,36,65380
Cormier,47,95270
Locke,53,60130
Wilson,48,38290
Quirk,53,59144
Sanchez,32,66760
Simmons,44,59300
Yarbrough,43,25270
Anderson,58,69700
Santini,51,81260
Stephens,51,59820
Brookshire,53,51800
Lee,40,86130
Buckley,45,68550
Gibbons,56,89560
Staley,56,83560
Moore,32,56500
Bush,52,76480
Harris,36,35400
Farnes,53,76460
Schroder,50,33680
Strickland,43,28400
Nunez,48,64122
Dawson,45,39240
Churchill,52,67390
Jumper,34,51240
Castlen,44,39120
Schmitz,46,21370
Falkenhagen,42,77160
Richards,31,65240
Mitchell,49,44290
Lemons,43,91470
Foster,45,73160
Wells,55,14140
Pulliam,37,72220
Zurcher,40,21110
Booth,55,51230
Monette,42,31580
Tomer,26,64130
Bowers,28,62410
Obermiller,40,63310
Cradle,46,51530
Underhill,49,22330
Quintero,44,07270
Riedel,47,50120
Fifield,39,68230
Furnace,26,35630
Burghard,53,95560
Cavin,48,64240
Hall,52,83136
Hathorn,44,61160
Wertz,48,02250
Cook,28,66200
Ballance,44,62126
Ringer,38,02000
Martin,49,09190
Vansumeren,42,51700
Lewis,32,22300
